scientificName,lon,lat
Trichechus manatus,-81.339617,25.881555
Trichechus manatus,-82.560637,27.961345
Trichechus manatus,-82.405067,27.793055
Trichechus manatus,-82.066273,26.514297
Trichechus manatus,-80.921017,29.026986
Trichechus manatus,-82.061455,26.506403
Trichechus manatus,-82.034235,26.521869
Trichechus manatus,-80.148209,27.118332
Trichechus manatus,-80.354397,25.266896
Trichechus manatus,-82.589047,28.887795
Trichechus manatus,-80.070914,26.375272
Trichechus manatus,-81.719249,29.550247
Trichechus manatus,-80.706568,28.407736
Trichechus manatus,-80.151096,25.763752
Trichechus manatus,-81.717297,25.934955
Trichechus manatus,-80.094536,26.949596
Trichechus manatus,-80.157054,25.725833
Trichechus manatus,-81.724454,25.941364
Trichechus manatus,-82.593577,28.800235
Trichechus manatus,-82.645977,28.524825
Trichechus manatus,-81.605928,29.604928
Trichechus manatus,-82.273117,27.034255
Trichechus manatus,-74.77108,10.96352
Trichechus manatus,-82.594414,27.868761
Trichechus manatus,-80.269377,25.726955
Trichechus manatus,-82.653517,28.897255
Trichechus manatus,-81.507407,25.955425
Trichechus manatus,-80.5798,28.03161
Trichechus manatus,-82.594117,28.890105
Trichechus manatus,-81.34187,28.94302
Trichechus manatus,-80.580182,25.228576
Trichechus manatus,-81.926481,26.590353
Trichechus manatus,-80.047757,26.784995
Trichechus manatus,-81.509683,25.943902
Trichechus manatus,-80.33281,27.57628
Trichechus manatus,-82.608497,28.895305
Trichechus manatus,-80.760357,28.469955
Trichechus manatus,-81.043547,25.565305
Trichechus manatus,-82.054937,26.643515
Trichechus manatus,-80.29065,27.47499
Trichechus manatus,-82.377577,26.993305
Trichechus manatus,-81.424807,30.264967
Trichechus manatus,-74.783,11.02669
Trichechus manatus,-80.763527,28.470775
Trichechus manatus,-81.793936,26.698946
Trichechus manatus,-81.662904,30.077288
Trichechus manatus,-80.380627,25.169606
Trichechus manatus,-80.041709,26.782009
Trichechus manatus,-81.794316,26.688217
Trichechus manatus,-80.620921,28.594337
Trichechus manatus,-80.537711,25.000673
Trichechus manatus,-80.155287,25.815395
Trichechus manatus,-80.733217,24.862611
Trichechus manatus,-80.05101,26.75287
Trichechus manatus,-82.408767,27.792765
Trichechus manatus,-81.64338,29.2458
Trichechus manatus,-80.5884,28.12066
Trichechus manatus,-82.638227,28.906015
Trichechus manatus,-82.179541,26.700347
Trichechus manatus,-80.610187,28.179535
Trichechus manatus,-82.31083,26.86799
Trichechus manatus,-81.5445,29.73361
Trichechus manatus,-82.050124,26.804992
Trichechus manatus,-80.65909,28.30363
Trichechus manatus,-81.524493,25.852231
Trichechus manatus,-80.604788,28.012826
Trichechus manatus,-86.22049,30.4131
Trichechus manatus,-82.042787,26.639585
Trichechus manatus,-82.419377,27.792955
Trichechus manatus,-81.71074,25.961794
Trichechus manatus,-81.77911,26.694155
Trichechus manatus,-80.339798,25.462667
Trichechus manatus,-81.364617,25.753405
Trichechus manatus,-80.607579,28.514106
Trichechus manatus,-81.282852,29.90553
Trichechus manatus,-80.622987,28.368196
Trichechus manatus,-80.042657,26.735295
Trichechus manatus,-81.93314,26.567016
